ethereum_address,github_username,impact_percentage
0xd46Cc93E3eE6a4fb532D9B48E95be7eD8f8f1DA0,jo-elimu,68.13
0x0000000000000000000000000000000000000000,SnehaHS65,25.55
0x5D388Ec24Cc2C0C77458338696aa63AFB706A7b1,nya-elimu,6.32
